,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Var_X,Var_Y,Var_Z,Teleportations
58,BNC34,2,231.4520986,26.5349526,204.917146,1890.5665822238618,10.214388280910839,0.9325923528890119,6.5854472303789295,52.013150254786154,3.779057298168725,236
59,BNC34,3,127.9523926,19.8033346,108.149058,1286.8871654332315,10.856689708404883,0.9159514554834056,7.333488049617005,55.11214081203001,4.2915684943427825,144
60,BNC35,1,549.8700573,45.0136753,504.856382,1867.7080803639774,3.7260365941015596,2.461839677167027,6.683225293001762,72.79103396097295,4.491711161072723,226
61,BNC35,2,217.3187042,27.0608632,190.25784099999998,1234.3857757900478,5.909570441510253,1.6591557741741072,7.681650103880095,37.572578013932805,3.985980833694141,134
62,BNC35,3,188.930773,26.290447,162.64032600000002,1221.8906620072655,6.667778488294701,1.449055088972087,8.24296996428917,32.0031473621991,4.040416698427567,134
63,BNC36,1,429.38798289999994,59.668008900000004,369.71997400000004,2188.0210727008875,6.324817177801868,1.6675026294284212,8.253224085147021,40.89363273495449,3.6631991200088967,266
64,BNC36,2,269.150702,26.379264,242.771438,1928.924001636164,9.4993910128144,1.0883883646414625,5.126483556491815,37.60557431334606,3.422754727510919,234
65,BNC36,3,111.8798987,22.583369700000002,89.29652899999999,1202.1445707832268,12.563496351849984,0.8944310364944632,6.536045358731181,62.40219297577533,4.335560111044642,125
66,BNC37,1,336.3887876,30.5983406,305.79044700000003,2651.9878943768117,7.901905117378097,1.2245945448675881,6.500473280221917,50.09367168021989,3.5719440722658837,337
67,BNC37,2,332.5046688,26.2417978,306.26287099999996,2739.436220656744,8.512566421391304,0.985873925853795,5.737402886305131,70.76033082977493,3.786532357946644,346
68,BNC37,3,215.6402077,14.8120367,200.828171,2233.6417455361816,10.403634665439796,0.8265773417695963,6.671562329791559,71.60981253114946,4.418105221131488,273
