,Participant,Block_Num,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
65,BNC36,3,13.9849873375,2.8229212125000003,11.162066124999999,150.26807134790334,16.089693933060545,0.8420554597756155,15.625,6.697909799204204
66,BNC37,1,42.04859845,3.824792575,38.223805875000004,331.49848679710146,8.893869908894334,1.1885635949914737,42.125,6.817830503765952
67,BNC37,2,41.5630836,3.280224725,38.282858874999995,342.429527582093,10.442337721171334,0.9696675858822451,43.25,6.844354095648834
68,BNC37,3,26.9550259625,1.8515045875,25.103521375,279.2052181920227,11.295545788899386,0.8147771200059533,34.125,6.811695229306152
69,BNC50,1,56.5767833375,3.9022605875,52.67452275000001,292.9560704498544,8.148756294281302,1.118964005563484,47.625,5.479759283868056
70,BNC50,2,10.4223762875,1.9954661625,8.426910125,142.1919984386144,17.80742468523415,0.5923743681874003,17.125,5.442990870761708
71,BNC50,3,6.6925116125,1.3350013875,5.3575102249999995,131.91778006148652,25.16118960141815,0.4289393648122162,14.625,5.807930356891913
72,BNC51,1,39.894542425,4.22342755,35.671114875,277.33065578646983,9.218309244547768,1.2180093894634116,33.0,6.971489257646235
73,BNC51,2,15.029714637500001,2.6419821375000003,12.387732500000002,161.52423919819435,14.248717711440346,0.8171979445435857,16.5,6.983832243461922
74,BNC51,3,7.682450537499999,1.4918746625,6.1905758749999995,137.62676468526269,22.13319791679222,0.5653515868781545,13.25,6.884083825336985
75,BNC52,1,28.827752299999997,2.813581675,26.014170625,308.148363110515,13.883409445343602,0.6512919868426634,42.375,6.13968721098502
76,BNC52,2,16.051662574999998,1.773344825,14.278317750000003,225.13109744927948,22.180810221630225,0.48925448302545815,28.125,6.375773352596425
77,BNC52,3,6.5629032249999995,1.3321656000000002,5.230737625,129.70152708008592,24.560667034746952,0.4659309546820011,13.625,6.098371263825845
78,NAV054,1,54.979180774999996,3.47161865,51.507562125,497.7314236986254,12.433099747761387,0.5630133205773828,101.875,4.637419777799166
79,NAV054,2,22.4361508375,1.9710543375000003,20.4650965,271.07666929854093,21.176748253061582,0.3621804126285479,52.625,4.62960551597167
80,NAV054,3,7.055242762500001,1.7576222625,5.2976205,136.39310521629307,26.06597188656921,0.39088451586983275,15.0,5.868022473936811
81,NAV055,1,54.038465450000004,3.8781682,50.16029725,371.4616658738454,10.256805506788055,0.8265801932285182,70.125,4.834579600974646
82,NAV055,2,12.9538103125,2.4376580624999997,10.51615225,161.83923617473596,17.12419319581491,0.48454333418410017,25.75,4.397690063644644
83,NAV055,3,12.1105689125,3.1864719125,8.924097,141.61875480390722,17.26344145602173,0.4335751930062549,23.5,3.917623727733171
84,NAV056,1,77.8644720125,3.8956556375,73.96881637499999,552.452674008206,9.876817356391612,0.7862708341143914,111.75,4.859997661384011
85,NAV056,2,16.747605925000002,1.960509175,14.787096750000002,211.17523163828258,15.556664126997532,0.5206538628103707,30.625,5.609609528240792
86,NAV056,3,17.6186399875,2.0964218625,15.522218125,224.5987633984605,16.79547194415781,0.5140733645729247,35.0,5.1688754240529695
87,NAV061,1,98.7373086375,13.435794637499999,85.301514,506.84912597167255,7.49462134760557,1.6329199129994618,69.625,6.766781838008662
88,NAV061,2,23.728022862499998,5.2822219875,18.445800874999996,191.5019893041876,12.229766286441365,1.0308616368360846,22.5,6.473215408147588
89,NAV061,3,29.393921425,4.554985299999999,24.838936125,252.4645866208149,18.807678561715317,0.7221342895239453,33.125,6.452066609461761
