Unnamed: 0,Participant,Block_Num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations,Mean_Teleport_Distance
0,BNC19,1,Automobile shop,19.3870467,7.4430497,11.943997,56.56630805,4.735961341,1.72623137,11,5.656630805
1,BNC19,1,Police station ,58.7140546,6.1111786,52.602876,235.968838,4.485854309,1.520029822,37,5.15947091
2,BNC19,1,Fire Station,24.6663757,6.1874907,18.478885,137.4373337,7.437533904,1.255353511,20,4.639693055
3,BNC19,1,Bank,222.4685172,4.4512942,218.017223,936.9771396,4.297720734,1.167881298,186,4.642382391
4,BNC19,1,Pawn Shop,34.7841865,10.5414465,24.24274,143.2218294,5.907823514,1.47434463,24,4.192528169
5,BNC19,1,Pizzeria,16.3955943,2.8196253,13.575969,136.3483859,10.04336309,0.880908665,18,5.208994467
6,BNC19,1,Quattroki Restaurant,124.9277712,6.5832282,118.344543,686.1962183,5.798292012,0.963814581,127,4.904462516
7,BNC19,1,High School,34.15183,7.611012,26.540818,345.9060078,13.03298217,0.72718786,44,5.926519804
0,BNC19,2,Automobile shop,13.8905467,4.4187047,9.471842,72.84344497,7.690525768,1.154162427,12,6.622131361
1,BNC19,2,Police station ,141.0801563,4.3403643,136.739792,765.2174097,5.596157479,0.89046956,157,4.560001322
2,BNC19,2,Fire Station,19.2705138,5.6527018,13.617812,149.0687819,10.94660302,0.67379165,21,4.982470507
3,BNC19,2,Bank,43.5544678,4.5627498,38.991718,261.8396977,6.71526445,0.811772282,50,3.711917516
4,BNC19,2,Pawn Shop,86.4427762,9.1738112,77.268965,595.5498783,7.707491336,0.674910843,127,4.348641182
5,BNC19,2,Pizzeria,27.8119343,17.2009043,10.61103,130.5763893,12.30572238,1.512104128,19,4.88825813
6,BNC19,2,Quattroki Restaurant,19.9160166,6.4514746,13.464542,197.9049628,14.69823205,0.694460022,28,4.80479292
7,BNC19,2,High School,18.909581,5.840299,13.069282,219.799749,16.81804318,0.495703538,27,4.890731663
0,BNC19,3,Automobile shop,11.9857367,5.1319147,6.853822,57.27244501,8.35627844,0.906256475,13,4.772703751
1,BNC19,3,Police station ,15.7008641,2.1667991,13.534065,116.7334997,8.625161747,0.83894575,17,4.26596663
2,BNC19,3,Fire Station,10.0273388,2.1320218,7.895317,138.9035395,17.59315547,0.486392433,19,5.040230022
3,BNC19,3,Bank,14.3121985,2.5416805,11.770518,170.6948207,14.50189539,0.658635325,21,4.542649066
4,BNC19,3,Pawn Shop,18.3329098,2.1389078,16.194002,122.0292605,7.53546038,0.991417106,18,4.471356663
5,BNC19,3,Pizzeria,12.7355857,4.0694527,8.666133,128.1887729,14.79192309,0.449220737,20,4.525199067
6,BNC19,3,Quattroki Restaurant,13.9027079,2.1739569,11.728751,192.9340179,16.44966441,0.559782952,24,5.422299533
7,BNC19,3,High School,12.3606892,2.0280152,10.332674,217.6408439,21.06336113,0.423587042,25,5.216394009
0,BNC20,1,Automobile shop,77.5494267,6.9992217,70.550205,301.1191865,4.268154664,1.490210422,50,6.145289521
1,BNC20,1,Police station ,66.9289271,8.3399151,58.589012,430.3742041,7.345647067,1.094280812,59,6.439693586
2,BNC20,1,Fire Station,17.7912621,7.5208961,10.270366,145.7825715,14.1944865,0.726725571,15,6.541557025
3,BNC20,1,Bank,72.7611012,3.3817252,69.379376,513.2456183,7.397668412,1.012799089,71,6.195429224
4,BNC20,1,Pawn Shop,13.7365753,4.5843973,9.152178,122.6097659,13.39678554,0.886923736,15,5.904197955
5,BNC20,1,Pizzeria,25.0134196,3.8116126,21.201807,144.327478,6.807319678,1.334175976,18,6.112120264
6,BNC20,1,Quattroki Restaurant,252.4738453,5.2916503,247.182195,1620.514045,6.555949732,1.020309393,246,6.336771377
7,BNC20,1,High School,13.4231467,4.3958777,9.027269,204.6863353,22.67422576,0.524121706,18,6.389536473
0,BNC20,2,Automobile shop,14.2752567,3.6154607,10.659796,66.2706522,6.216878091,0.991625058,13,5.52255435
1,BNC20,2,Police station ,21.3049223,3.8887423,17.41618,192.0338193,11.02617332,0.718730875,25,5.632148948
2,BNC20,2,Fire Station,11.4858204,4.3887214,7.097099,145.6460123,20.52190794,0.782732314,15,6.370774522
3,BNC20,2,Bank,14.3745312,3.2359172,11.138614,129.2748186,11.60600579,1.230627222,10,5.59387013
4,BNC20,2,Pawn Shop,15.1243683,4.4791683,10.6452,124.0406239,11.65225866,0.985110593,15,5.691406714
5,BNC20,2,Pizzeria,91.5123668,5.4927998,86.019567,666.3483893,7.746474582,0.844902581,104,6.086740682
6,BNC20,2,Quattroki Restaurant,14.9161239,3.7628679,11.153256,186.3201212,16.70544648,0.774256161,19,6.378349024
7,BNC20,2,High School,10.2495682,3.2641132,6.985455,198.5235944,28.41956528,0.403936588,18,6.363236656
0,BNC20,3,Automobile shop,11.1036167,2.5317857,8.571831,73.25642837,8.546182067,0.7934717,12,6.659675307
1,BNC20,3,Police station ,13.5412167,2.8680527,10.673164,156.5927137,14.67163006,0.586001889,19,5.727381722
2,BNC20,3,Fire Station,9.9163153,3.0137983,6.902517,143.9748292,20.85830853,0.524017923,14,7.005304876
