,Participant,Block_num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
4,BNC43,1,Pawn Shop,107.400636,8.804609,98.596027,382.3082543,3.877521903,1.707482452,63
5,BNC43,1,Pizzeria,32.2146589,4.4795979,27.735061,139.6726999,5.035961518,1.841969333,16
6,BNC43,1,Quattroki Restaurant,96.004359,0.4451469,95.5592121,484.5688923,5.07087576,1.287206406,73
7,BNC43,1,High School,58.3601181,5.9869871,52.373131,320.0696565,6.111333243,1.374943198,42
0,BNC43,2,Automobile shop,17.0129467,3.2844497,13.728497,56.65788069,4.127027212,1.6025893,10
1,BNC43,2,Police station ,27.4993958,8.0070638,19.492332,130.4745779,6.693636139,1.385414286,15
2,BNC43,2,Fire Station,21.3258669,7.7363549,13.589512,140.6162564,10.3474103,0.899062,16
3,BNC43,2,Bank,27.8049297,5.5415877,22.263342,170.461052,7.65657968,1.687288169,17
4,BNC43,2,Pawn Shop,31.4787138,13.7428538,17.73586,111.8617335,6.307093846,2.258650317,13
5,BNC43,2,Pizzeria,165.4695221,1.3889671,164.080555,661.0036915,4.028531544,1.134984174,145
6,BNC43,2,Quattroki Restaurant,101.3379025,8.3680345,92.969868,578.7171136,6.224781492,0.718342084,138
7,BNC43,2,High School,26.8191234,6.0209404,20.798183,247.6556672,11.90756265,0.643020875,33
0,BNC43,3,Automobile shop,12.6378667,3.4091627,9.228704,60.3664836,6.541165867,1.008069892,13
1,BNC43,3,Police station ,68.547177,3.312635,65.234542,409.9261411,6.283881645,0.757923897,88
2,BNC43,3,Fire Station,18.749504,7.236149,11.513355,135.3870113,11.75912767,0.632785444,19
3,BNC43,3,Bank,19.2563501,4.6246251,14.631725,142.9599446,9.770546166,1.019209315,14
4,BNC43,3,Pawn Shop,19.42317,4.7014,14.72177,135.1559254,9.180684482,0.82608387,24
5,BNC43,3,Pizzeria,22.6240873,0.7909132,21.8331741,134.7373536,6.171221509,0.985516686,23
6,BNC43,3,Quattroki Restaurant,162.1223318,7.4582788,154.664053,681.0947679,4.403704382,0.857169862,184
7,BNC43,3,High School,25.7982547,4.2014327,21.596822,237.1264352,10.97969114,0.667980594,33
0,BNC44,1,Automobile shop,102.3855667,21.5319267,80.85364,237.6495732,2.93925633,1.70284452,60
1,BNC44,1,Police station ,90.755733,11.229063,79.52667,317.1887485,3.988457564,1.443010377,62
2,BNC44,1,Fire Station,40.8324342,3.8401092,36.992325,150.537047,4.069412967,1.98536681,21
3,BNC44,1,Bank,28.1998271,4.3877921,23.812035,145.0024223,6.089459482,1.43321634,16
4,BNC44,1,Pawn Shop,80.5272588,5.5561508,74.971108,372.2224541,4.964878659,1.2230672,65
5,BNC44,1,Pizzeria,43.8879453,2.7567603,41.131185,254.3814369,6.184636716,1.02298084,43
6,BNC44,1,Quattroki Restaurant,271.7712697,3.8123827,267.958887,1252.500953,4.674228078,1.267276538,214
7,BNC44,1,High School,103.8799738,4.8194258,99.060548,559.6313623,5.649386901,1.179326561,88
0,BNC44,2,Automobile shop,20.4001167,5.4770107,14.923106,58.82571268,3.94192152,1.287795047,16
1,BNC44,2,Police station ,94.2758166,3.7431866,90.53263,378.3713458,4.179391959,1.207500956,78
2,BNC44,2,Fire Station,26.7217607,11.4791907,15.24257,142.7766046,9.366964012,0.889658235,18
3,BNC44,2,Bank,32.1940867,4.6390837,27.555003,173.2701258,6.28815485,1.275744696,25
4,BNC44,2,Pawn Shop,150.4623507,6.3402087,144.122142,571.683106,3.966657018,1.219522276,123
5,BNC44,2,Pizzeria,38.7561698,8.4584618,30.297708,154.8874396,5.11218339,1.209005476,30
6,BNC44,2,Quattroki Restaurant,53.8462245,5.8748125,47.971412,263.8864946,5.500911555,1.160712833,46
